"","Adaptable","BestValue","CuttingEdge","Delightful","Exciting","Friendly","Generous","Helpful","Intuitive","Brand"
"1",6,5,4,4,3,4,5,4,3,"Marca_1"
"2",4,3,4,2,4,4,5,2,5,"Marca_2"
"3",3,2,3,6,5,5,6,4,3,"Marca_1"
"4",4,1,4,4,5,4,5,3,3,"Marca_1"
"5",4,1,3,3,3,5,5,4,4,"Marca_1"
"6",4,3,4,4,3,4,6,2,4,"Marca_1"
"7",5,3,5,4,6,3,5,3,4,"Marca_2"
"8",4,2,7,5,4,3,5,4,4,"Marca_1"
"9",5,4,4,3,3,4,4,3,3,"Marca_1"
"10",5,3,5,4,5,6,4,5,5,"Marca_1"
"11",3,3,5,4,4,4,3,6,4,"Marca_2"
"12",6,3,3,4,4,3,4,3,4,"Marca_2"
"13",4,3,5,4,6,4,3,5,5,"Marca_2"
"14",5,4,5,4,4,4,5,4,4,"Marca_1"
"15",4,4,3,6,4,6,4,3,4,"Marca_1"
"16",3,4,3,5,4,5,4,4,3,"Marca_1"
"17",3,3,3,4,3,3,3,3,4,"Marca_2"
"18",4,4,4,4,4,4,5,4,3,"Marca_1"
"19",5,5,5,5,4,3,5,3,2,"Marca_4"
"20",4,3,3,3,5,3,3,4,4,"Marca_1"
"21",4,6,5,5,4,5,2,5,4,"Marca_1"
"22",4,4,3,3,3,5,4,4,4,"Marca_4"
"23",4,5,4,3,4,5,5,4,3,"Marca_1"
"24",4,3,5,5,3,5,3,4,5,"Marca_1"
"25",4,5,2,2,4,5,3,4,4,"Marca_3"
"26",2,1,4,4,5,4,5,3,4,"Marca_4"
"27",4,4,3,4,4,3,4,3,4,"Marca_1"
"28",5,5,3,4,5,6,3,7,5,"Marca_3"
"29",3,3,2,4,3,5,4,6,4,"Marca_3"
"30",5,5,5,3,3,4,5,5,3,"Marca_2"
"31",3,4,4,4,5,3,4,4,3,"Marca_2"
"32",2,1,5,4,4,4,6,4,4,"Marca_2"
"33",4,3,3,2,2,4,3,2,4,"Marca_1"
"34",4,3,3,3,3,5,3,5,5,"Marca_2"
"35",5,3,2,3,3,4,4,3,3,"Marca_2"
"36",4,4,5,3,2,4,4,6,4,"Marca_2"
"37",5,4,3,4,4,7,4,5,5,"Marca_2"
"38",5,5,4,5,5,5,4,5,5,"Marca_3"
"39",5,5,5,3,4,4,5,6,3,"Marca_4"
"40",3,4,3,4,4,5,3,3,4,"Marca_2"
"41",4,5,4,5,5,4,5,2,4,"Marca_1"
"42",4,4,4,5,4,4,5,3,5,"Marca_1"
"43",3,2,3,3,3,5,3,4,4,"Marca_3"
"44",4,3,3,6,5,4,4,3,3,"Marca_1"
"45",5,3,4,2,2,6,4,6,6,"Marca_3"
"46",4,4,6,4,4,5,4,3,4,"Marca_1"
"47",3,4,4,4,3,3,3,1,1,"Marca_4"
"48",6,6,5,4,4,5,3,4,5,"Marca_1"
"49",4,5,1,4,2,2,3,2,1,"Marca_3"
"50",5,4,5,3,4,3,3,5,5,"Marca_2"
"51",5,4,3,5,4,5,3,5,4,"Marca_1"
